signal_id,system_name,data_product_id,metric_name,metric_value,threshold,status,severity,measured_at,owner,recommended_action,name,domain,business_criticality
SIG-00056,enterprise_rag_evaluation_lab,DP-002,rag_trust_score,99.94,75,healthy,low,2026-05-20T21:21:43.491492+00:00,Finance Analytics,Monitor.,revenue_metrics,finance,critical
SIG-00058,enterprise_rag_evaluation_lab,DP-003,citation_coverage,93.62,75,healthy,low,2026-05-20T21:21:43.491503+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00059,enterprise_rag_evaluation_lab,DP-003,hallucination_risk,17.97,75,healthy,low,2026-05-20T21:21:43.491508+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00060,enterprise_rag_evaluation_lab,DP-003,rag_trust_score,83.95,75,watch,medium,2026-05-20T21:21:43.491516+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00062,enterprise_rag_evaluation_lab,DP-004,citation_coverage,90.53,75,healthy,low,2026-05-20T21:21:43.491526+00:00,Payments Risk,Monitor.,payment_risk_scoring,risk,critical
SIG-00063,enterprise_rag_evaluation_lab,DP-004,hallucination_risk,17.72,75,healthy,low,2026-05-20T21:21:43.491548+00:00,Payments Risk,Monitor.,payment_risk_scoring,risk,critical
SIG-00064,enterprise_rag_evaluation_lab,DP-004,rag_trust_score,76.45,75,watch,medium,2026-05-20T21:21:43.491554+00:00,Payments Risk,Monitor.,payment_risk_scoring,risk,critical
SIG-00066,enterprise_rag_evaluation_lab,DP-005,citation_coverage,79.7,75,watch,medium,2026-05-20T21:21:43.491565+00:00,GenAI Platform,Monitor.,enterprise_rag_search,ai_platform,high
SIG-00067,enterprise_rag_evaluation_lab,DP-005,hallucination_risk,3.6,75,healthy,low,2026-05-20T21:21:43.491571+00:00,GenAI Platform,Monitor.,enterprise_rag_search,ai_platform,high
SIG-00068,enterprise_rag_evaluation_lab,DP-005,rag_trust_score,70.97,75,watch,medium,2026-05-20T21:21:43.491576+00:00,GenAI Platform,Monitor.,enterprise_rag_search,ai_platform,high
SIG-00070,enterprise_rag_evaluation_lab,DP-006,citation_coverage,83.71,75,watch,medium,2026-05-20T21:21:43.491587+00:00,Support Analytics,Monitor.,support_intelligence,operations,high
SIG-00071,enterprise_rag_evaluation_lab,DP-006,hallucination_risk,16.31,75,healthy,low,2026-05-20T21:21:43.491593+00:00,Support Analytics,Monitor.,support_intelligence,operations,high
SIG-00072,enterprise_rag_evaluation_lab,DP-006,rag_trust_score,83.9,75,watch,medium,2026-05-20T21:21:43.491598+00:00,Support Analytics,Monitor.,support_intelligence,operations,high
SIG-00074,enterprise_rag_evaluation_lab,DP-007,citation_coverage,78.29,75,watch,medium,2026-05-20T21:21:43.491611+00:00,AI Governance,Monitor.,ai_governance_gateway,governance,critical
SIG-00075,enterprise_rag_evaluation_lab,DP-007,hallucination_risk,12.09,75,healthy,low,2026-05-20T21:21:43.491617+00:00,AI Governance,Monitor.,ai_governance_gateway,governance,critical
SIG-00076,enterprise_rag_evaluation_lab,DP-007,rag_trust_score,77.64,75,watch,medium,2026-05-20T21:21:43.491622+00:00,AI Governance,Monitor.,ai_governance_gateway,governance,critical
SIG-00078,enterprise_rag_evaluation_lab,DP-008,citation_coverage,67.65,75,degraded,high,2026-05-20T21:21:43.491635+00:00,Analytics Engineering,Investigate and remediate.,semantic_metrics_layer,governance,critical
SIG-00079,enterprise_rag_evaluation_lab,DP-008,hallucination_risk,15.55,75,healthy,low,2026-05-20T21:21:43.491640+00:00,Analytics Engineering,Monitor.,semantic_metrics_layer,governance,critical
SIG-00080,enterprise_rag_evaluation_lab,DP-008,rag_trust_score,82.15,75,watch,medium,2026-05-20T21:21:43.491645+00:00,Analytics Engineering,Monitor.,semantic_metrics_layer,governance,critical
SIG-00082,enterprise_rag_evaluation_lab,DP-009,citation_coverage,87.36,75,healthy,low,2026-05-20T21:21:43.491659+00:00,Data Quality,Monitor.,data_quality_certification,governance,critical
SIG-00083,enterprise_rag_evaluation_lab,DP-009,hallucination_risk,22.23,75,healthy,low,2026-05-20T21:21:43.491664+00:00,Data Quality,Monitor.,data_quality_certification,governance,critical
SIG-00084,enterprise_rag_evaluation_lab,DP-009,rag_trust_score,76.92,75,watch,medium,2026-05-20T21:21:43.491669+00:00,Data Quality,Monitor.,data_quality_certification,governance,critical
SIG-00086,enterprise_rag_evaluation_lab,DP-010,citation_coverage,61.75,75,degraded,high,2026-05-20T21:21:43.491679+00:00,Data Platform,Investigate and remediate.,pipeline_reliability_monitoring,operations,critical
SIG-00087,enterprise_rag_evaluation_lab,DP-010,hallucination_risk,0.19,75,healthy,low,2026-05-20T21:21:43.491685+00:00,Data Platform,Monitor.,pipeline_reliability_monitoring,operations,critical
SIG-00088,enterprise_rag_evaluation_lab,DP-010,rag_trust_score,70.03,75,watch,medium,2026-05-20T21:21:43.491689+00:00,Data Platform,Monitor.,pipeline_reliability_monitoring,operations,critical
SIG-00090,enterprise_rag_evaluation_lab,DP-011,citation_coverage,71.13,75,watch,medium,2026-05-20T21:21:43.491700+00:00,Supply Chain Analytics,Monitor.,supply_chain_risk_monitoring,operations,medium
SIG-00091,enterprise_rag_evaluation_lab,DP-011,hallucination_risk,47.39,75,watch,medium,2026-05-20T21:21:43.491708+00:00,Supply Chain Analytics,Monitor.,supply_chain_risk_monitoring,operations,medium
SIG-00092,enterprise_rag_evaluation_lab,DP-011,rag_trust_score,77.72,75,watch,medium,2026-05-20T21:21:43.491713+00:00,Supply Chain Analytics,Monitor.,supply_chain_risk_monitoring,operations,medium
SIG-00094,enterprise_rag_evaluation_lab,DP-012,citation_coverage,70.8,75,watch,medium,2026-05-20T21:21:43.491723+00:00,Executive Analytics,Monitor.,executive_reporting_mart,executive,critical
SIG-00095,enterprise_rag_evaluation_lab,DP-012,hallucination_risk,6.9,75,healthy,low,2026-05-20T21:21:43.491731+00:00,Executive Analytics,Monitor.,executive_reporting_mart,executive,critical
SIG-00096,enterprise_rag_evaluation_lab,DP-012,rag_trust_score,77.93,75,watch,medium,2026-05-20T21:21:43.491736+00:00,Executive Analytics,Monitor.,executive_reporting_mart,executive,critical
SIG-00097,payments_fraud_feature_store_mlops,DP-001,mlops_health_score,92.08,75,healthy,low,2026-05-20T21:21:43.492776+00:00,Customer Platform,Monitor.,customer_360,customer,critical
SIG-00098,payments_fraud_feature_store_mlops,DP-001,model_drift,61.27,75,degraded,high,2026-05-20T21:21:43.492787+00:00,Customer Platform,Investigate and remediate.,customer_360,customer,critical
SIG-00100,payments_fraud_feature_store_mlops,DP-001,reason_code_coverage,84.85,75,watch,medium,2026-05-20T21:21:43.492800+00:00,Customer Platform,Monitor.,customer_360,customer,critical
SIG-00101,payments_fraud_feature_store_mlops,DP-002,mlops_health_score,74.87,75,watch,medium,2026-05-20T21:21:43.492807+00:00,Finance Analytics,Monitor.,revenue_metrics,finance,critical
SIG-00102,payments_fraud_feature_store_mlops,DP-002,model_drift,64.65,75,degraded,high,2026-05-20T21:21:43.492812+00:00,Finance Analytics,Investigate and remediate.,revenue_metrics,finance,critical
SIG-00104,payments_fraud_feature_store_mlops,DP-002,reason_code_coverage,75.65,75,watch,medium,2026-05-20T21:21:43.492822+00:00,Finance Analytics,Monitor.,revenue_metrics,finance,critical
SIG-00105,payments_fraud_feature_store_mlops,DP-003,mlops_health_score,84.79,75,watch,medium,2026-05-20T21:21:43.492829+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00106,payments_fraud_feature_store_mlops,DP-003,model_drift,82.26,75,watch,medium,2026-05-20T21:21:43.492834+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00108,payments_fraud_feature_store_mlops,DP-003,reason_code_coverage,79.13,75,watch,medium,2026-05-20T21:21:43.492844+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00109,payments_fraud_feature_store_mlops,DP-004,mlops_health_score,69.72,75,degraded,high,2026-05-20T21:21:43.492850+00:00,Payments Risk,Investigate and remediate.,payment_risk_scoring,risk,critical
SIG-00110,payments_fraud_feature_store_mlops,DP-004,model_drift,84.15,75,watch,medium,2026-05-20T21:21:43.492855+00:00,Payments Risk,Monitor.,payment_risk_scoring,risk,critical
SIG-00112,payments_fraud_feature_store_mlops,DP-004,reason_code_coverage,98.31,75,healthy,low,2026-05-20T21:21:43.492864+00:00,Payments Risk,Monitor.,payment_risk_scoring,risk,critical
SIG-00113,payments_fraud_feature_store_mlops,DP-005,mlops_health_score,92.02,75,healthy,low,2026-05-20T21:21:43.492869+00:00,GenAI Platform,Monitor.,enterprise_rag_search,ai_platform,high
SIG-00114,payments_fraud_feature_store_mlops,DP-005,model_drift,86.28,75,healthy,low,2026-05-20T21:21:43.492874+00:00,GenAI Platform,Monitor.,enterprise_rag_search,ai_platform,high
SIG-00116,payments_fraud_feature_store_mlops,DP-005,reason_code_coverage,67.73,75,degraded,high,2026-05-20T21:21:43.492883+00:00,GenAI Platform,Investigate and remediate.,enterprise_rag_search,ai_platform,high
SIG-00117,payments_fraud_feature_store_mlops,DP-006,mlops_health_score,74.32,75,watch,medium,2026-05-20T21:21:43.492888+00:00,Support Analytics,Monitor.,support_intelligence,operations,high
SIG-00118,payments_fraud_feature_store_mlops,DP-006,model_drift,70.88,75,watch,medium,2026-05-20T21:21:43.492893+00:00,Support Analytics,Monitor.,support_intelligence,operations,high
SIG-00120,payments_fraud_feature_store_mlops,DP-006,reason_code_coverage,65.48,75,degraded,high,2026-05-20T21:21:43.492902+00:00,Support Analytics,Investigate and remediate.,support_intelligence,operations,high
SIG-00121,payments_fraud_feature_store_mlops,DP-007,mlops_health_score,89.62,75,healthy,low,2026-05-20T21:21:43.492907+00:00,AI Governance,Monitor.,ai_governance_gateway,governance,critical
SIG-00122,payments_fraud_feature_store_mlops,DP-007,model_drift,79.33,75,watch,medium,2026-05-20T21:21:43.492911+00:00,AI Governance,Monitor.,ai_governance_gateway,governance,critical
SIG-00124,payments_fraud_feature_store_mlops,DP-007,reason_code_coverage,69.81,75,degraded,high,2026-05-20T21:21:43.492920+00:00,AI Governance,Investigate and remediate.,ai_governance_gateway,governance,critical
SIG-00125,payments_fraud_feature_store_mlops,DP-008,mlops_health_score,85.76,75,healthy,low,2026-05-20T21:21:43.492925+00:00,Analytics Engineering,Monitor.,semantic_metrics_layer,governance,critical
SIG-00126,payments_fraud_feature_store_mlops,DP-008,model_drift,92.06,75,healthy,low,2026-05-20T21:21:43.492930+00:00,Analytics Engineering,Monitor.,semantic_metrics_layer,governance,critical
SIG-00128,payments_fraud_feature_store_mlops,DP-008,reason_code_coverage,100.0,75,healthy,low,2026-05-20T21:21:43.492939+00:00,Analytics Engineering,Monitor.,semantic_metrics_layer,governance,critical
SIG-00129,payments_fraud_feature_store_mlops,DP-009,mlops_health_score,86.97,75,healthy,low,2026-05-20T21:21:43.492944+00:00,Data Quality,Monitor.,data_quality_certification,governance,critical
SIG-00130,payments_fraud_feature_store_mlops,DP-009,model_drift,70.13,75,watch,medium,2026-05-20T21:21:43.492949+00:00,Data Quality,Monitor.,data_quality_certification,governance,critical
SIG-00132,payments_fraud_feature_store_mlops,DP-009,reason_code_coverage,85.21,75,healthy,low,2026-05-20T21:21:43.492965+00:00,Data Quality,Monitor.,data_quality_certification,governance,critical
SIG-00133,payments_fraud_feature_store_mlops,DP-010,mlops_health_score,72.24,75,watch,medium,2026-05-20T21:21:43.492971+00:00,Data Platform,Monitor.,pipeline_reliability_monitoring,operations,critical
SIG-00134,payments_fraud_feature_store_mlops,DP-010,model_drift,77.02,75,watch,medium,2026-05-20T21:21:43.492975+00:00,Data Platform,Monitor.,pipeline_reliability_monitoring,operations,critical
SIG-00136,payments_fraud_feature_store_mlops,DP-010,reason_code_coverage,80.31,75,watch,medium,2026-05-20T21:21:43.492984+00:00,Data Platform,Monitor.,pipeline_reliability_monitoring,operations,critical
SIG-00137,payments_fraud_feature_store_mlops,DP-011,mlops_health_score,94.79,75,healthy,low,2026-05-20T21:21:43.492989+00:00,Supply Chain Analytics,Monitor.,supply_chain_risk_monitoring,operations,medium
SIG-00138,payments_fraud_feature_store_mlops,DP-011,model_drift,83.88,75,watch,medium,2026-05-20T21:21:43.492994+00:00,Supply Chain Analytics,Monitor.,supply_chain_risk_monitoring,operations,medium
SIG-00140,payments_fraud_feature_store_mlops,DP-011,reason_code_coverage,69.57,75,degraded,high,2026-05-20T21:21:43.493003+00:00,Supply Chain Analytics,Investigate and remediate.,supply_chain_risk_monitoring,operations,medium
SIG-00141,payments_fraud_feature_store_mlops,DP-012,mlops_health_score,61.9,75,degraded,high,2026-05-20T21:21:43.493008+00:00,Executive Analytics,Investigate and remediate.,executive_reporting_mart,executive,critical
SIG-00142,payments_fraud_feature_store_mlops,DP-012,model_drift,76.16,75,watch,medium,2026-05-20T21:21:43.493012+00:00,Executive Analytics,Monitor.,executive_reporting_mart,executive,critical
SIG-00144,payments_fraud_feature_store_mlops,DP-012,reason_code_coverage,100.0,75,healthy,low,2026-05-20T21:21:43.493021+00:00,Executive Analytics,Monitor.,executive_reporting_mart,executive,critical
SIG-00196,semantic_metrics_trust_layer,DP-001,ai_agent_metric_readiness,92.99,75,healthy,low,2026-05-20T21:21:43.495167+00:00,Customer Platform,Monitor.,customer_360,customer,critical
SIG-00200,semantic_metrics_trust_layer,DP-002,ai_agent_metric_readiness,94.03,75,healthy,low,2026-05-20T21:21:43.495192+00:00,Finance Analytics,Monitor.,revenue_metrics,finance,critical
SIG-00204,semantic_metrics_trust_layer,DP-003,ai_agent_metric_readiness,79.31,75,watch,medium,2026-05-20T21:21:43.495219+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00208,semantic_metrics_trust_layer,DP-004,ai_agent_metric_readiness,84.74,75,watch,medium,2026-05-20T21:21:43.495241+00:00,Payments Risk,Monitor.,payment_risk_scoring,risk,critical
SIG-00212,semantic_metrics_trust_layer,DP-005,ai_agent_metric_readiness,64.44,75,degraded,high,2026-05-20T21:21:43.495269+00:00,GenAI Platform,Investigate and remediate.,enterprise_rag_search,ai_platform,high
SIG-00216,semantic_metrics_trust_layer,DP-006,ai_agent_metric_readiness,74.15,75,watch,medium,2026-05-20T21:21:43.495294+00:00,Support Analytics,Monitor.,support_intelligence,operations,high
SIG-00220,semantic_metrics_trust_layer,DP-007,ai_agent_metric_readiness,71.48,75,watch,medium,2026-05-20T21:21:43.495316+00:00,AI Governance,Monitor.,ai_governance_gateway,governance,critical
SIG-00224,semantic_metrics_trust_layer,DP-008,ai_agent_metric_readiness,68.84,75,degraded,high,2026-05-20T21:21:43.495339+00:00,Analytics Engineering,Investigate and remediate.,semantic_metrics_layer,governance,critical
SIG-00228,semantic_metrics_trust_layer,DP-009,ai_agent_metric_readiness,86.1,75,healthy,low,2026-05-20T21:21:43.495361+00:00,Data Quality,Monitor.,data_quality_certification,governance,critical
SIG-00232,semantic_metrics_trust_layer,DP-010,ai_agent_metric_readiness,87.22,75,healthy,low,2026-05-20T21:21:43.495383+00:00,Data Platform,Monitor.,pipeline_reliability_monitoring,operations,critical
SIG-00236,semantic_metrics_trust_layer,DP-011,ai_agent_metric_readiness,78.8,75,watch,medium,2026-05-20T21:21:43.495402+00:00,Supply Chain Analytics,Monitor.,supply_chain_risk_monitoring,operations,medium
SIG-00240,semantic_metrics_trust_layer,DP-012,ai_agent_metric_readiness,86.22,75,healthy,low,2026-05-20T21:21:43.495425+00:00,Executive Analytics,Monitor.,executive_reporting_mart,executive,critical
